Country,Year,Value,Period,Representation_Level
Marshall Islands,2000,3.03,2000–2010,<10% (Low)
Marshall Islands,2001,3.03,2000–2010,<10% (Low)
Marshall Islands,2002,3.03,2000–2010,<10% (Low)
Marshall Islands,2003,3.03,2000–2010,<10% (Low)
Marshall Islands,2004,3.03,2000–2010,<10% (Low)
Marshall Islands,2005,3.03,2000–2010,<10% (Low)
Marshall Islands,2006,3.03,2000–2010,<10% (Low)
Marshall Islands,2007,3.03,2000–2010,<10% (Low)
Marshall Islands,2008,3.03,2000–2010,<10% (Low)
Marshall Islands,2009,3.03,2000–2010,<10% (Low)
Marshall Islands,2010,3.03,2000–2010,<10% (Low)
Marshall Islands,2011,3.03,2011–2020,<10% (Low)
Marshall Islands,2012,3.03,2011–2020,<10% (Low)
Marshall Islands,2013,3.03,2011–2020,<10% (Low)
Marshall Islands,2014,3.03,2011–2020,<10% (Low)
Marshall Islands,2015,3.03,2011–2020,<10% (Low)
Marshall Islands,2016,9.09,2011–2020,<10% (Low)
Marshall Islands,2017,9.09,2011–2020,<10% (Low)
Marshall Islands,2018,9.09,2011–2020,<10% (Low)
Marshall Islands,2019,9.09,2011–2020,<10% (Low)
Marshall Islands,2020,6.06,2011–2020,<10% (Low)
Marshall Islands,2021,6.06,2021–Present,<10% (Low)
Marshall Islands,2022,6.06,2021–Present,<10% (Low)
Marshall Islands,2023,6.06,2021–Present,<10% (Low)
Marshall Islands,2024,12.12,2021–Present,10–30% (Moderate)
Marshall Islands,2025,12.1,2021–Present,10–30% (Moderate)
Tuvalu,2000,0.0,2000–2010,<10% (Low)
Tuvalu,2001,0.0,2000–2010,<10% (Low)
Tuvalu,2002,0.0,2000–2010,<10% (Low)
Tuvalu,2003,0.0,2000–2010,<10% (Low)
Tuvalu,2004,0.0,2000–2010,<10% (Low)
Tuvalu,2005,0.0,2000–2010,<10% (Low)
Tuvalu,2006,0.0,2000–2010,<10% (Low)
Tuvalu,2007,0.0,2000–2010,<10% (Low)
Tuvalu,2008,0.0,2000–2010,<10% (Low)
Tuvalu,2009,0.0,2000–2010,<10% (Low)
Tuvalu,2010,0.0,2000–2010,<10% (Low)
Tuvalu,2011,0.0,2011–2020,<10% (Low)
Tuvalu,2012,6.67,2011–2020,<10% (Low)
Tuvalu,2013,6.67,2011–2020,<10% (Low)
Tuvalu,2014,6.67,2011–2020,<10% (Low)
Tuvalu,2015,6.67,2011–2020,<10% (Low)
Tuvalu,2016,6.67,2011–2020,<10% (Low)
Tuvalu,2017,6.67,2011–2020,<10% (Low)
Tuvalu,2018,6.67,2011–2020,<10% (Low)
Tuvalu,2019,6.67,2011–2020,<10% (Low)
Tuvalu,2020,6.25,2011–2020,<10% (Low)
Tuvalu,2021,6.25,2021–Present,<10% (Low)
